,LogC,XGBC,XGBC-opt,XGBC-opt-2,Test_set
roc_auc,0.705,0.861,0.904,0.908,0.609
f1,0.652,0.78,0.823,0.825,0.708
balanced_accuracy,0.653,0.78,0.823,0.825,0.609
precision,0.653,0.783,0.828,0.83,0.722
recall,0.653,0.78,0.823,0.825,0.698
