fit_time,score_time,test_roc_auc,test_f1_macro,test_balanced_accuracy,test_precision_macro,test_recall_macro
3.4655940532684326,0.011920928955078125,0.9448979591836735,0.8781788351107465,0.8795918367346939,0.8884711779448622,0.8795918367346939
3.5019469261169434,0.013449907302856445,0.9257142857142857,0.8585714285714285,0.8585714285714285,0.8585714285714285,0.8585714285714285
3.6609010696411133,0.01189875602722168,0.9187755102040817,0.8379705400981997,0.8379591836734694,0.8407407407407408,0.8379591836734694
3.695511817932129,0.011837244033813477,0.9236734693877552,0.8578753076292042,0.8579591836734695,0.864202657807309,0.8579591836734695
3.5985770225524902,0.017033100128173828,0.8959183673469389,0.8379705400981997,0.8379591836734694,0.8407407407407408,0.8379591836734694
3.5330491065979004,0.01731395721435547,0.896938775510204,0.8484229866285597,0.8487755102040816,0.8496317512274959,0.8487755102040816
3.5374701023101807,0.0177459716796875,0.9473469387755101,0.8686332550780851,0.8685714285714285,0.8688725490196079,0.8685714285714285
3.541187047958374,0.017551898956298828,0.9530612244897959,0.9291773122125704,0.9289795918367347,0.9310910582444627,0.9289795918367347
1.144200086593628,0.006998777389526367,0.9841732611411912,0.9693845673227117,0.9693877551020408,0.9695833333333332,0.9693877551020408
1.0976440906524658,0.008057832717895508,0.9169096209912537,0.8143939393939394,0.8163265306122449,0.8300738809213386,0.8163265306122449
