,LogC,XGBC,XGBC-opt,XGBC-opt-2,Test_set
roc_auc,0.857,0.928,0.931,0.936,0.818
f1,0.788,0.866,0.87,0.874,0.823
balanced_accuracy,0.789,0.866,0.87,0.874,0.818
precision,0.791,0.872,0.874,0.878,0.825
recall,0.789,0.866,0.87,0.874,0.822
