fit_time,score_time,test_roc_auc,test_f1_macro,test_balanced_accuracy,test_precision_macro,test_recall_macro
0.01257014274597168,0.005982875823974609,0.8885714285714286,0.8484229866285597,0.8487755102040816,0.8496317512274959,0.8487755102040816
0.027590036392211914,0.009300947189331055,0.8697959183673468,0.7775735294117647,0.7781632653061225,0.779532403609516,0.7781632653061225
0.016206026077270508,0.006973981857299805,0.8853061224489795,0.775,0.776734693877551,0.7897435897435897,0.776734693877551
0.014719009399414062,0.0056018829345703125,0.8387755102040816,0.7969647251845775,0.7973469387755102,0.8025332225913622,0.7973469387755102
0.020502090454101562,0.007128715515136719,0.8085714285714285,0.7569558101472995,0.7581632653061224,0.7613636363636364,0.7581632653061224
0.013966798782348633,0.006784915924072266,0.8236734693877551,0.7373469387755103,0.7375510204081632,0.7377450980392157,0.7375510204081632
0.016955137252807617,0.006004810333251953,0.8763265306122449,0.8282127181790344,0.8285714285714285,0.8293780687397709,0.8285714285714285
0.01630997657775879,0.00556492805480957,0.830204081632653,0.7465437788018433,0.7481632653061225,0.7524916943521595,0.7481632653061225
0.029799938201904297,0.007814168930053711,0.8788004997917536,0.8061022597105072,0.8061224489795918,0.80625,0.8061224489795918
0.015833139419555664,0.006992816925048828,0.8683881715951687,0.8061022597105072,0.8061224489795918,0.80625,0.8061224489795918
