fit_time,score_time,test_roc_auc_ovo,test_f1_macro,test_balanced_accuracy,test_precision_macro,test_recall_macro
18.11074995994568,0.038494110107421875,0.9480655107624946,0.8279729517216516,0.8278814251220318,0.8280938336841256,0.8278814251220318
17.9195818901062,0.0345001220703125,0.9483406522946334,0.828010781092808,0.8273264196501469,0.8297116384649722,0.8273264196501469
17.957900047302246,0.04036879539489746,0.9485629913979615,0.8273302258368549,0.8268113676238124,0.8281455109192924,0.8268113676238124
18.12495493888855,0.03438901901245117,0.9424442066663415,0.8132991099234824,0.8128320044469922,0.8140925942009081,0.8128320044469922
17.898070812225342,0.039550065994262695,0.9466010726911755,0.8188676721473934,0.8192914343286953,0.8188123752022562,0.8192914343286953
18.098403930664062,0.033830881118774414,0.9433111901307706,0.8191279492876938,0.8182066114266854,0.8208775912710292,0.8182066114266854
17.934907913208008,0.03533506393432617,0.9438172967599604,0.8199969861362266,0.8192245557350565,0.8221963739818032,0.8192245557350565
18.254909992218018,0.025536060333251953,0.9452425693875917,0.8186740498650086,0.818147549811524,0.8193700298236375,0.818147549811524
4.860666990280151,0.02293109893798828,0.9394424886329684,0.8138790991736783,0.8126904302812376,0.8158807658437096,0.8126904302812376
4.768733024597168,0.021910905838012695,0.9449838879880165,0.8321860932349784,0.8325855090590094,0.8319360027239263,0.8325855090590094
