fit_time,score_time,test_roc_auc_ovo,test_f1_macro,test_balanced_accuracy,test_precision_macro,test_recall_macro
0.7546970844268799,0.01653885841369629,0.881867855800002,0.7224969189920349,0.7235369221950076,0.7216633917421423,0.7235369221950076
0.6413028240203857,0.018796920776367188,0.8899351758147729,0.7379757499956572,0.7380565254399222,0.737897438690614,0.7380565254399222
0.7594678401947021,0.015383243560791016,0.894027569278322,0.7372690758950217,0.7391517709799018,0.7360978268321046,0.7391517709799018
0.7485349178314209,0.015418052673339844,0.8801962853101882,0.710600779503434,0.7106258794100787,0.7107165173159348,0.7106258794100787
0.8014519214630127,0.013577938079833984,0.8811822913777326,0.7174627072226839,0.71924626956416,0.7162472311444459,0.71924626956416
0.5438380241394043,0.016720056533813477,0.8880056856610837,0.7334337343652666,0.7342948216860354,0.7327474960284631,0.7342948216860354
0.7692759037017822,0.009943008422851562,0.8882215554442313,0.7380107876300633,0.7390371219622353,0.7373396630472099,0.7390371219622353
0.7134740352630615,0.016324281692504883,0.8854110098639622,0.7183584072142941,0.7191316205464937,0.717799492506307,0.7191316205464937
0.784153938293457,0.01624894142150879,0.8782530760743407,0.7203753831826646,0.7206385602862752,0.7201339016646494,0.7206385602862752
0.7097599506378174,0.01429295539855957,0.8775368403349241,0.7246833122723859,0.7254790070700228,0.7241917551202034,0.7254790070700228
